Ano Censo;Categoria Administrativa;Sub Categoria Administrativa;Id Categoria Administrativa;Número de Matrículas;Número de Concluintes;Grau Acadêmico;Modalidade Ensino;Organização Acadêmica
2017;PÚBLICA;FEDERAL;1;25156;56;-;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;FEDERAL;1;215;0;-;PRESENCIAL;FACULDADES
2017;PÚBLICA;FEDERAL;1;380;0;-;PRESENCIAL;IFs e CEFETs
2017;PÚBLICA;FEDERAL;1;759901;95890;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;FEDERAL;1;2901;376;BACHARELADO;PRESENCIAL;FACULDADES
2017;PÚBLICA;FEDERAL;1;66926;4492;BACHARELADO;PRESENCIAL;IFs e CEFETs
2017;PÚBLICA;FEDERAL;1;22554;2293;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PÚBLICA;FEDERAL;1;1496;27;BACHARELADO;CURSO A DISTÂNCIA;IFs e CEFETs
2017;PÚBLICA;FEDERAL;1;234581;30381;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;FEDERAL;1;246;44;LICENCIATURA;PRESENCIAL;FACULDADES
2017;PÚBLICA;FEDERAL;1;48062;4231;LICENCIATURA;PRESENCIAL;IFs e CEFETs
2017;PÚBLICA;FEDERAL;1;60586;4691;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PÚBLICA;FEDERAL;1;6966;480;LICENCIATURA;CURSO A DISTÂNCIA;IFs e CEFETs
2017;PÚBLICA;FEDERAL;1;13121;1901;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;FEDERAL;1;53588;5455;TECNOLÓGICO;PRESENCIAL;IFs e CEFETs
2017;PÚBLICA;FEDERAL;1;5026;814;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PÚBLICA;FEDERAL;1;4767;301;TECNOLÓGICO;CURSO A DISTÂNCIA;IFs e CEFETs
2017;PÚBLICA;ESTADUAL;2;10068;114;-;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;2265;569;-;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;296711;39605;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;720;60;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2017;PÚBLICA;ESTADUAL;2;2327;339;BACHARELADO;PRESENCIAL;FACULDADES
2017;PÚBLICA;ESTADUAL;2;13648;559;BACHARELADO;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;190018;27098;LICENCIATURA;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;2856;413;LICENCIATURA;PRESENCIAL;FACULDADES
2017;PÚBLICA;ESTADUAL;2;41279;3727;LICENCIATURA;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;10164;2487;TECNOLÓGICO;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;356;29;TECNOLÓGICO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2017;PÚBLICA;ESTADUAL;2;66715;9115;TECNOLÓGICO;PRESENCIAL;FACULDADES
2017;PÚBLICA;ESTADUAL;2;2068;205;TECNOLÓGICO;CURSO A DISTÂNCIA;UNIVERSIDADES
2017;PÚBLICA;ESTADUAL;2;5255;314;TECNOLÓGICO;CURSO A DISTÂNCIA;FACULDADES
2017;PÚBLICA;MUNICIPAL;3;24;20;-;PRESENCIAL;FACULDADES
2017;PÚBLICA;MUNICIPAL;3;29389;4495;BACHARELADO;PRESENCIAL;UNIVERSIDADES
2017;PÚBLICA;MUNICIPAL;3;15817;2402;BACHARELADO;PRESENCIAL;CENTROS UNIVERSITÁRIOS
2017;PÚBLICA;MUNICIPAL;3;31647;5071;BACHARELADO;PRESENCIAL;FACULDADES
