Ano Censo;Número de Matrículas;Número de Funções Docentes;Relação Matrículas/Funções Docente em Exercício;Organização Acadêmica;Categoria Administrativa
2017;1032638;91070;"11,34";UNIVERSIDADES;FEDERAL
2017;506641;44707;"11,33";UNIVERSIDADES;ESTADUAL
2017;33743;2493;"13,54";UNIVERSIDADES;MUNICIPAL
2017;1676789;68194;"24,59";UNIVERSIDADES;PRIVADA
2017;1076;94;"11,45";CENTROS UNIVERSITÁRIOS;ESTADUAL
2017;17636;1250;"14,11";CENTROS UNIVERSITÁRIOS;MUNICIPAL
2017;1084428;44116;"24,58";CENTROS UNIVERSITÁRIOS;PRIVADA
2017;3362;642;"5,24";FACULDADES;FEDERAL
2017;71898;5902;"12,18";FACULDADES;ESTADUAL
2017;43834;2878;"15,23";FACULDADES;MUNICIPAL
2017;1888680;97132;"19,44";FACULDADES;PRIVADA
2017;168956;22195;"7,61";IFs e CEFETs;FEDERAL
2016;1018185;89737;"11,35";UNIVERSIDADES;FEDERAL
2016;505810;45850;"11,03";UNIVERSIDADES;ESTADUAL
2016;45800;3244;"14,12";UNIVERSIDADES;MUNICIPAL
2016;1686655;68708;"24,55";UNIVERSIDADES;PRIVADA
2016;1538;100;"15,38";CENTROS UNIVERSITÁRIOS;ESTADUAL
2016;21170;1436;"14,74";CENTROS UNIVERSITÁRIOS;MUNICIPAL
2016;1021181;41616;"24,54";CENTROS UNIVERSITÁRIOS;PRIVADA
2016;1682;449;"3,75";FACULDADES;FEDERAL
2016;70619;5841;"12,09";FACULDADES;ESTADUAL
2016;46890;2968;"15,8";FACULDADES;MUNICIPAL
2016;1978970;104226;"18,99";FACULDADES;PRIVADA
2016;155783;19919;"7,82";IFs e CEFETs;FEDERAL
2015;996043;87308;"11,41";UNIVERSIDADES;FEDERAL
2015;503844;46953;"10,73";UNIVERSIDADES;ESTADUAL
2015;46694;3191;"14,63";UNIVERSIDADES;MUNICIPAL
2015;1728283;71512;"24,17";UNIVERSIDADES;PRIVADA
2015;1570;103;"15,24";CENTROS UNIVERSITÁRIOS;ESTADUAL
2015;17274;1146;"15,07";CENTROS UNIVERSITÁRIOS;MUNICIPAL
2015;993152;40463;"24,54";CENTROS UNIVERSITÁRIOS;PRIVADA
2015;1658;436;"3,8";FACULDADES;FEDERAL
2015;69231;5519;"12,54";FACULDADES;ESTADUAL
2015;51967;3252;"15,98";FACULDADES;MUNICIPAL
2015;2088358;110307;"18,93";FACULDADES;PRIVADA
2015;135471;17814;"7,6";IFs e CEFETs;FEDERAL
2014;958659;84706;"11,32";UNIVERSIDADES;FEDERAL
2014;506905;46125;"10,99";UNIVERSIDADES;ESTADUAL
2014;82443;5721;"14,41";UNIVERSIDADES;MUNICIPAL
2014;1656994;67767;"24,45";UNIVERSIDADES;PRIVADA
2014;1793;146;"12,28";CENTROS UNIVERSITÁRIOS;ESTADUAL
2014;25301;1627;"15,55";CENTROS UNIVERSITÁRIOS;MUNICIPAL
2014;936666;39258;"23,86";CENTROS UNIVERSITÁRIOS;PRIVADA
2014;1639;469;"3,49";FACULDADES;FEDERAL
2014;67970;4592;"14,8";FACULDADES;ESTADUAL
